Profile,f0_Hz,f0_Amplitude
Profile_1,0.2785570960161405,4.631318350468686
Profile_2,0.29839676491893513,6.016863976098129
Profile_3,0.238877739237804,4.266107944688048
Profile_4,0.2785570960161405,5.9504340277915375
Profile_5,0.2785570960161405,5.915226543430617
Profile_6,0.2785570960161405,5.906031755122844
Profile_7,0.25871742711334583,4.29803893329763
Profile_8,0.25871742711334583,5.079024200358808
Profile_9,0.2785570960161405,5.191318643433696
Profile_10,0.25871742711334583,4.681569228554267
