Frequency_Hz,HVSR_Amplitude
0.200000,1.471138
0.768571,1.461763
1.337143,1.746821
1.905714,2.128472
2.474286,2.520074
3.042857,3.059018
3.611429,3.625179
4.180000,5.449275
4.748571,6.550933
5.317143,6.271656
5.885715,4.055390
6.454286,3.404506
7.022857,2.813425
7.591429,2.337857
8.160000,1.956301
8.728572,1.641246
9.297143,1.382457
9.865714,1.206934
10.434286,1.129161
11.002858,1.116130
11.571429,1.119058
12.140000,1.145262
12.708571,1.179931
13.277143,1.208712
13.845715,1.228127
14.414285,1.247202
14.982858,1.278529
15.551428,1.298532
16.120001,1.319600
16.688572,1.349083
17.257145,1.384711
17.825716,1.419379
18.394287,1.448494
18.962858,1.467319
19.531429,1.476107
20.100003,1.474820
20.668574,1.383920
21.237145,1.466642
21.805715,1.448583
22.374286,1.413052
22.942859,1.391516
23.511431,1.367132
24.080002,1.342322
24.648572,1.317802
25.217145,1.241041
25.785716,1.275901
26.354288,1.261476
26.922859,1.264956
27.491429,1.279858
28.060002,1.311162
28.628573,1.350610
29.197145,1.385622
29.765716,1.518822
30.334289,1.424710
30.902859,1.426656
31.471430,1.425252
32.040000,1.420151
32.608573,1.412836
33.177143,1.405164
33.745716,1.388342
34.314289,1.380519
34.882859,1.370172
35.451432,1.365668
36.020000,1.351172
36.588573,1.338929
37.157146,1.328612
37.725716,1.321850
38.294289,1.310445
38.862857,1.293569
39.431430,1.268972
40.000003,1.280420
